Number,Measurements at 3+ time points?,Author,Study Title,Participants (training status),N,Age,Sex,Program Label,Program Details,Length (weeks),Intensity Closest to 1RM test,Volume Equated?,Issues,outcome_type,post,pre,sd
31,Yes,Tammam,Comparison between Daily and Weekly Undulating Periodized Resistance Training to Increase Muscular Strength for Volleyball Players,Moderatly trained (minimum 1 year training experience),11,NA,?,WUP,"12RM W 1, 5, 10, 10RM W 2, 6, 11, 8RM W 3, 8, 12, 6RM W 4, 9, 13",13,6RM,NA,Other exercises included; all favored WUP. Crossover-effect?; suspiciously small SDs/Large ESs,bench,49.82,36.27,2
32,No,Franchini,"Influence of Linear and Undulating Strength Periodization on Physical Fitness, Physiological, and Performance Responses to Simulated Judo Matches",Moderately trained (at least 6 months),6,18-35yo,M,RLP/BP,"3-5RM W1-2, Power training W 3-5, 15-20RM W6-8",8,15-20RM,Yes,"Skinfolds, circumferences, and endurance also measured",bench,108,96,11
32,No,Franchini,"Influence of Linear and Undulating Strength Periodization on Physical Fitness, Physiological, and Performance Responses to Simulated Judo Matches",Moderately trained (at least 6 months),7,18-35yo,M,DUP,"Mix of 3-5RM, 15-20RM, and power exercises the whole time",8,3-5RM,NA,NA,bench,104,95,14
33,No,de Lima,Linear and Daily Undulating Resistance Training Periodizations Have Differential Beneficial Effects in Young Sedentary Women,Untrained,10,25.2+/-4.35,F,LP/BP,"3 blocks of 30RM W1, 25RM W2, 20RM W3, and 15RM W4",12,15RM,Yes,"""other"" is biceps curl",bench,39.7,33.8,3.33
33,No,de Lima,Linear and Daily Undulating Resistance Training Periodizations Have Differential Beneficial Effects in Young Sedentary Women,Untrained,10,27.4+/-2.8,F,DUP/WUP,Alternating weeks of 30RM and 25RM with weeks of 20RM and 15RM,12,15RM,NA,NA,bench,37,31,6.34
34,Yes,Apel,A comparison of Traditional and Weekly Undulating Periodized Strength Training Programs with Total Volume and Intensity Equated,Moderately trained (between 6-11 months of experience),14,23+/-2.8,M,LP/BP,First 3 weeks the same between programs; Two blocks of increasing intensity/decreasing volume past that,12,0.8,Yes,"""Other"" is DB shoulder press; Pull-down and Leg extension included as well",bench,81.9,66.1,11.1
34,Yes,Apel,A comparison of Traditional and Weekly Undulating Periodized Strength Training Programs with Total Volume and Intensity Equated,Moderately trained (between 6-11 months of experience),14,22+/-1.9,M,WUP,2 blocks of heaviest-lightest-medium week for each block; intensities in a tight range (73-80%) for both groups,12,0.78,NA,Intensity ranges were too tight to really differentiate the programs (imo),bench,73.8,62.2,12.3
35,No,Simão,Comparison Between Nonlinear and Linear Periodized Resistance Training: Hypertrophy and Strength Effects,Untrained (Navy; had not lifted for at least 6 months before start of study),10,29.8+/-1/9,M,LP/BP,"4 weeks 2x12-15RM, 4 weeks 3x8-10RM, 4 weeks 4x3-5RM",12,3-5RM,Yes,"Study also looked at lat pulldowns, triceps extensions, and curls",bench,85.7,77.6,13.3
35,No,Simão,Comparison Between Nonlinear and Linear Periodized Resistance Training: Hypertrophy and Strength Effects,Untrained (Navy; had not lifted for at least 6 months before start of study),11,30.2+/-1.1,M,LP/DUP,"Abbreviated version of group 1 (2 weeks per phase instead of 4), then DUP with the same set/rep/intensity ranges for the last 6 weeks",12,3-5RM,NA,NA,bench,93.1,76.1,9.9
36,No,Miranda,Effects of Linear vs. Daily Undulatory Periodized Resistance Training on Maximal and Submaximal Strength Gains,"Moderately Trained (described as ""recreationally trained, but ~5 years of experience)",10,26+/-6,M,LP/BP,"8-10RM 4 weeks, 6-8RM 4 weeks, 4-6RM 4 weeks",12,4-6RM,Yes,NA,bench,84,73,14.6
36,No,Miranda,Effects of Linear vs. Daily Undulatory Periodized Resistance Training on Maximal and Submaximal Strength Gains,"Moderately Trained (described as ""recreationally trained, but ~5 years of experience)",10,26.5+/-5,M,DUP,"8-10, 6-18, and 4-6RM each week",12,4-6RM,NA,NA,bench,100,86,13.9
42,No,Prestes,Understanding the Individual Responsiveness to resistance training periodization,Untrained Elderly Women,20,>60,F,LP/BP,"4 weeks 12-14RM, 4 weeks 10-12RM, 4 weeks 8-10RM, 4 weeks 6-8RM",16,6-8RM,Yes,"""Other"" was biceps curls",bench,26.31,23.2,5.48
42,No,Prestes,Understanding the Individual Responsiveness to resistance training periodization,Untrained Elderly Women,19,>60,F,DUP,Cycling between those 4 RM ranges,16,6-8RM,NA,NA,bench,26.38,25.02,4.93
47,No,Schoenfeld,Effects of Varied Versus Constant Loading Zones on Muscular Adaptations in Trained Men,Trained,9,23.9+/-3.2,M,NP,10RM all sessions,8,10RM,Roughly,NA,bench,118.5,110.1,8
47,No,Schoenfeld,Effects of Varied Versus Constant Loading Zones on Muscular Adaptations in Trained Men,Trained,10,23.3+/-2.9,M,DUP,"Cycling between 3RM, 10RM, and 25RM",8,3RM,NA,NA,bench,110.2,98.6,17.2
50,No,Bartolomei,Comparison of Block versus Weekly Undulating Periodization Models on Endocrine and Strength Changes in Male Athletes,"Trained (wrestlers, rugby players, and throwers)",10,23.7+/-2.9,M,BP,"4 weeks of 65-75% focused on hypertrophy, 4 weeks of 85-95% focused on sterngth, and 4 weeks of 50-65% focused on power. Deload every 5th week",15,65 (95% 5 weeks out),I think,"""Other"" is squat isometric strength",bench,115,107,18.8
50,No,Bartolomei,Comparison of Block versus Weekly Undulating Periodization Models on Endocrine and Strength Changes in Male Athletes,"Trained (wrestlers, rugby players, and throwers)",8,26+/-5.7,M,WUP/LP/BP,"W1 sets of 8-10 with 65-75%, W2 sets of 5-6 with 75-85%, week 3 sets of 3-4 with 85-95%, week 4 power training with 50-60%",15,60% (95% 2? Weeks out),NA,"FM also provided, but not SD for BF% so can't calculate ES",bench,98.75,97.5,17.5
53,NA,Harries,Comparison of resistance training progression models on maximal strength in sub-elite adolescent rugby union players,Subelite adolescent rugby players,8,16.8,M,LP,Increase from 75% to 90% over 6 weeks in small increments x2,12,90.0,essentially,NA,bench,97.5,87.9,16.9
53,NA,Harries,Comparison of resistance training progression models on maximal strength in sub-elite adolescent rugby union players,Subelite adolescent rugby players,8,17.0,M,DUP,Increase from 75/86% to 83/90% x2,12,90.0,NA,NA,bench,95.7,88.9,22
54,NA,Spineti,The effects of exercise order and periodized resistance training on maximum strength and muscle thickness,Men in brazillian Navy; untrained for at least 6 months,10,29.8,M,LP Large muscles first,NA,12,3-5RM,yes (reps),"Pull-downs, triceps, and biceps also included",bench,85.8,77.9,13.2
54,NA,Spineti,The effects of exercise order and periodized resistance training on maximum strength and muscle thickness,Men in brazillian Navy; untrained for at least 6 months,11,30.2,M,UP Large muscles first,NA,12,3-5RM,NA,NA,bench,93.2,76.2,9.8
55,NA,Spineti,The effects of exercise order and periodized resistance training on maximum strength and muscle thickness,Men in brazillian Navy; untrained for at least 6 months,13,29.2,M,LP Small muscles first,NA,12,3-5RM,yes (reps),"Pull-downs, triceps, and biceps also included",bench,77.4,69.6,13.3
55,NA,Spineti,The effects of exercise order and periodized resistance training on maximum strength and muscle thickness,Men in brazillian Navy; untrained for at least 6 months,10,30.5,M,UP Small muscles first,NA,12,3-5RM,NA,NA,bench,84.3,69.6,13.2
9,no,Ahmadizad,"Effects of short-term nonperiodized, linear periodized, and daily undulating periodized resistance training on plasma adiponectin, lepin, and insulin resistance",Sedentary,8,23.4+/-0.6,M,NP,"2x12 70% (for all groups, percentage-based based on same 1rm for first 6 weeks, then adjusted based on new 1RM on week 6)",8,70.0,"Roughly (sets the same, similar average intensities)",Health effects interesting as well,leg press,191.2,182.4,35.6
9,no,Ahmadizad,"Effects of short-term nonperiodized, linear periodized, and daily undulating periodized resistance training on plasma adiponectin, lepin, and insulin resistance",Sedentary,8,23.4+/-0.6,M,LP,"2x18 1at 50% to 2x8 at 85%, increasing intensity and decreasing reps each week",8,85.0,NA,NA,leg press,202.3,188.9,42.9
9,no,Ahmadizad,"Effects of short-term nonperiodized, linear periodized, and daily undulating periodized resistance training on plasma adiponectin, lepin, and insulin resistance",Sedentary,8,23.4+/-0.6,M,DUP,"2x16 at 55%, 2x12 at 70%, and 2x8 at 85% each week",8,85.0,NA,NA,leg press,208,190.5,33.7
10,Yes,Moraes,"Effects on Strength, Power, and Flexibility in Adolescents of Nonperiodized vs. Daily Nonlinear Periodized Weight Training",Untrained adolescents,14,15.5+/-0.9,M,NP,3x10-12RM; 1-2 min of rest,12,10-12RM,NA,NA,leg press,435.7,231.4,39.3
10,Yes,Moraes,"Effects on Strength, Power, and Flexibility in Adolescents of Nonperiodized vs. Daily Nonlinear Periodized Weight Training",Untrained adolescents,14,15.4+/-1.1,M,DUP,3-10-20RM to 3-5RM; 2-3 min between sets on 3-5RM days,12,3-5RM,NA,NA,leg press,489.3,236.4,39.9
12,Yes,Monteiro,Nonlinear Periodization Maximizes Strength Gains in Split Resistance Training Routines,Trained males (minimum 2 years of experience,9,26.6+/-2.2,M,NP,3x8-10RM,12,8-10RM,Roughly,Additional training day added in block 3; not technically non-periodized,leg press,323.6,297.3,21.4
12,Yes,Monteiro,Nonlinear Periodization Maximizes Strength Gains in Split Resistance Training Routines,Trained males (minimum 2 years of experience,9,27.6+/-2.7,M,LP/BP,"3 weeks 3x12-15RM, 3 weeks 3x8-10RM, 3 weeks 3x4-5RM, 3 weeks 3x12, 8, 4RM",12,4RM,Roughly,Estimates from bar charts via webplotdigitizer,leg press,365.2,319,26.4
12,Yes,Monteiro,Nonlinear Periodization Maximizes Strength Gains in Split Resistance Training Routines,Trained males (minimum 2 years of experience,9,28.1+/-2.9,M,DUP,"Alternate 3x12-15RM and 3x8-10RM 3 weeks, then 4x4-5RM and 3x12-15RM, then 3x8-10RM and 4x4-5RM, then 3x12, 8, 4RM",12,4RM,Roughly,Additional training day added in block 3; not technically non-periodized,leg press,449.7,312.7,21.5
14,Yes,Kraemer,Physiological Changes with Periodized Resistance Training in Women Tennis Players,"Female tennis players ""not currently involved in resistance training""",10,18.6+/-1.3,F,NP,8-10RM loads,32,8-10RM,Yes,"Shoulder press was the ""other""",leg press,180.7,150.3,19.7
14,Yes,Kraemer,Physiological Changes with Periodized Resistance Training in Women Tennis Players,"Female tennis players ""not currently involved in resistance training""",9,19.2+/-1.1,F,DUP,"4-6RM Monday, 8-10RM Wednesday, 12-15RM Friday",32,4-6RM,Yes,"Big advantage of periodized initially, decreasing over time",leg press,193.8,158.4,34.5
18,Yes,Prestes,Comparison Between Linear and Daily Undulating Periodized Resistance Training to Increase Strength,Minimum of one year of training,20,22.3+/-7.5,M,LP/BP,"3x12RM W1, 3x10RM W2, 3x8RM W3, 3x6RM W4, repeated 3x",12,6RM,yes,"DUP group considerably weaker on leg press initially; ""other"" is biceps curl",leg press,330.5,265,17.33
18,Yes,Prestes,Comparison Between Linear and Daily Undulating Periodized Resistance Training to Increase Strength,Minimum of one year of training,20,21.2+/-9.2,M,DUP,"Odd weeks alternating between 3-12RM and 3x10RM, Even weeks alternating between 3x8RM and 3x6RM",12,6RM,yes,SDs all suspiciously low (so effect sizes suspiciously large),leg press,322,229,8.35
22,Yes,Buford,A Comparison of Periodization Models During Nine Weeks With Equated Volume and Intensity for Strength,"Basically untrained (at least 4 weeks of experience; some with perior experience, but not in the prior 2 months)",9,22.7+/-3.6,M/F,LP/BP,"3x8 W1-3, 3x6W 4-6, 3x4 W7-9",9,0.9,yes,DUP group strongest to start with,leg press,685.56,370,116.3
22,Yes,Buford,A Comparison of Periodization Models During Nine Weeks With Equated Volume and Intensity for Strength,"Basically untrained (at least 4 weeks of experience; some with perior experience, but not in the prior 2 months)",9,23.9+/-5.1,M/F,WUP,"3x8 W 1, 4, 7, 3x6 W 2, 5, 8, 3x4 W 3, 6, 9",9,0.9,NA,Session RPEs also reported,leg press,710,355.56,89.32
22,Yes,Buford,A Comparison of Periodization Models During Nine Weeks With Equated Volume and Intensity for Strength,"Basically untrained (at least 4 weeks of experience; some with perior experience, but not in the prior 2 months)",10,20.1+/-1.5,M/F,DUP,"3x8, 3x6, 3x4 each week",9,0.9,NA,Chest and thigh circumferences reported; % strength increases larger for women,leg press,715,399.5,139.77
25,Yes,Rhea,A Comparison of Linear and Daily Undulating Peridized Programs with Equate Volume and Intensity for Strength,average 5+ years of experience,10,21.2+/-3.1,M,LP/BP,"4 weeks 8RM, 4 weeks 6RM, 4 weeks 4RM",12,4RM,Yes,LP group stronger initially,leg press,331.36,266.82,55.38
25,Yes,Rhea,A Comparison of Linear and Daily Undulating Peridized Programs with Equate Volume and Intensity for Strength,average 5+ years of experience,10,20.2+/-2.4,M,DUP,"8RM, 6RM, and 4RM each week",12,4RM,NA,NA,leg press,350.23,230.23,65.05
31,Yes,Tammam,Comparison between Daily and Weekly Undulating Periodized Resistance Training to Increase Muscular Strength for Volleyball Players,Moderatly trained (minimum 1 year training experience),11,24.18+/-2.23,?,DUP/WUP,Alternating weeks of training with 12 and 10RM with weeks of training with 8 and 6RM,13,6RM,Yes,Unilateral training; within-subject control; single arm/leg bench and leg press in sheet,leg press,56,39.73,2.57
31,Yes,Tammam,Comparison between Daily and Weekly Undulating Periodized Resistance Training to Increase Muscular Strength for Volleyball Players,Moderatly trained (minimum 1 year training experience),11,NA,?,WUP,"12RM W 1, 5, 10, 10RM W 2, 6, 11, 8RM W 3, 8, 12, 6RM W 4, 9, 13",13,6RM,NA,Other exercises included; all favored WUP. Crossover-effect?; suspiciously small SDs/Large ESs,leg press,59.27,40.09,1.22
33,No,de Lima,Linear and Daily Undulating Resistance Training Periodizations Have Differential Beneficial Effects in Young Sedentary Women,Untrained,10,25.2+/-4.35,F,LP/BP,"3 blocks of 30RM W1, 25RM W2, 20RM W3, and 15RM W4",12,15RM,Yes,"""other"" is biceps curl",leg press,243.2,164.1,26.44
33,No,de Lima,Linear and Daily Undulating Resistance Training Periodizations Have Differential Beneficial Effects in Young Sedentary Women,Untrained,10,27.4+/-2.8,F,DUP/WUP,Alternating weeks of 30RM and 25RM with weeks of 20RM and 15RM,12,15RM,NA,NA,leg press,257.5,186,41.42
36,No,Miranda,Effects of Linear vs. Daily Undulatory Periodized Resistance Training on Maximal and Submaximal Strength Gains,"Moderately Trained (described as ""recreationally trained, but ~5 years of experience)",10,26+/-6,M,LP/BP,"8-10RM 4 weeks, 6-8RM 4 weeks, 4-6RM 4 weeks",12,4-6RM,Yes,NA,leg press,416,393,35.4
36,No,Miranda,Effects of Linear vs. Daily Undulatory Periodized Resistance Training on Maximal and Submaximal Strength Gains,"Moderately Trained (described as ""recreationally trained, but ~5 years of experience)",10,26.5+/-5,M,DUP,"8-10, 6-18, and 4-6RM each week",12,4-6RM,NA,NA,leg press,486,411,48.2
42,No,Prestes,Understanding the Individual Responsiveness to resistance training periodization,Untrained Elderly Women,20,>60,F,LP/BP,"4 weeks 12-14RM, 4 weeks 10-12RM, 4 weeks 8-10RM, 4 weeks 6-8RM",16,6-8RM,Yes,"""Other"" was biceps curls",leg press,158.42,107.6,52.85
42,No,Prestes,Understanding the Individual Responsiveness to resistance training periodization,Untrained Elderly Women,19,>60,F,DUP,Cycling between those 4 RM ranges,16,6-8RM,NA,NA,leg press,150.35,115.68,29.61
45,No,Conlon,Periodization Strategies in Older Adults: Impact on Physical Function and Health,Untrained,NA,70.4+/-6.1,M/F,NP,3x10RM,31,10RM,Yes,DUP group the strongest to start with,leg press,132.2,92.9,29.1
45,No,Conlon,Periodization Strategies in Older Adults: Impact on Physical Function and Health,Untrained,NA,71.8+/-5.4,M/F,BP,"11 sessions of 3x15RM, 11 sessions of 3x10RM, 11 sessions of 3x5RM, then repeat",31,5RM,NA,NA,leg press,146.8,94,28.4
45,No,Conlon,Periodization Strategies in Older Adults: Impact on Physical Function and Health,Untrained,NA,71.2+/-4.2,M/F,DUP,"Cycling through 3x15RM, 3x10RM, and 3x5RM",31,5RM,NA,NA,leg press,170.8,121,40.2
13,No,DeBeliso,A comparison of periodised and fixed repetition training protocol on strength in older adults,Untrained older adults,13,71.2+/-5.4,M/F,NP,3x9RM,18,9RM,Yes,Relatively low adherence (72% for non-periodized and 81% for periodized),other 1,83,52,25
13,No,DeBeliso,A comparison of periodised and fixed repetition training protocol on strength in older adults,Untrained older adults,17,70.2+/-4.4,M/F,LP/BP,"2x15RM for 6 weeks, 3x9RM for 6 weeks, 4x6RM for 6 weeks",18,6RM,Yes (reps and sets; volume load likely similar),Average upper and lower body strength changes (lots of machine exercises),other 1,78,45,21
14,Yes,Kraemer,Physiological Changes with Periodized Resistance Training in Women Tennis Players,"Female tennis players ""not currently involved in resistance training""",10,18.6+/-1.3,F,NP,8-10RM loads,32,8-10RM,Yes,"Shoulder press was the ""other""",other 1,31,25.3,4.6
14,Yes,Kraemer,Physiological Changes with Periodized Resistance Training in Women Tennis Players,"Female tennis players ""not currently involved in resistance training""",9,19.2+/-1.1,F,DUP,"4-6RM Monday, 8-10RM Wednesday, 12-15RM Friday",32,4-6RM,Yes,"Big advantage of periodized initially, decreasing over time",other 1,34.1,27.5,6.9
18,Yes,Prestes,Comparison Between Linear and Daily Undulating Periodized Resistance Training to Increase Strength,Minimum of one year of training,20,22.3+/-7.5,M,LP/BP,"3x12RM W1, 3x10RM W2, 3x8RM W3, 3x6RM W4, repeated 3x",12,6RM,yes,"DUP group considerably weaker on leg press initially; ""other"" is biceps curl",other 1,49.2,43.1,1.92
18,Yes,Prestes,Comparison Between Linear and Daily Undulating Periodized Resistance Training to Increase Strength,Minimum of one year of training,20,21.2+/-9.2,M,DUP,"Odd weeks alternating between 3-12RM and 3x10RM, Even weeks alternating between 3x8RM and 3x6RM",12,6RM,yes,SDs all suspiciously low (so effect sizes suspiciously large),other 1,52.5,42.5,2.89
23,No,Rhea,A Comparison of Linear and Daily Undulating Periodized Programs with Equated Volume and Intensity for Local Muscular Endurance,At least one year of experience,20,21+/-2.4,M/F,LP/BP,"5 weeks 25RM, 5 weeks 20RM, 5 weeks 15RM",15,15RM,yes,Leg circumference also reported,other 1,85.1,78.8,16.5
23,No,Rhea,A Comparison of Linear and Daily Undulating Periodized Programs with Equated Volume and Intensity for Local Muscular Endurance,At least one year of experience,20,22+/-1.6,M/F,RLP/BP,Opposite group 1,15,25RM,NA,NA,other 1,76.6,73.2,24.3
23,No,Rhea,A Comparison of Linear and Daily Undulating Periodized Programs with Equated Volume and Intensity for Local Muscular Endurance,At least one year of experience,20,21+/-1.9,M/F,DUP,"15RM, 20RM, and 25RM all in same week",15,15RM,NA,NA,other 1,80.7,74.5,19
29,No,Bartolomei,A Comparison of Traditional and Block Periodized Training Programs on Trained Athletes,Trained (min 3 years),10,26.2+/-6,M,BP,https://www.dropbox.com/s/1d5vetjx3i1xugf/Screenshot%202017-06-19%2009.08.40.jpg?dl=0,15,55% (60% previous week),NA,Volume and intensity not equated,other 1,140.9,134.4,30.7
29,No,Bartolomei,A Comparison of Traditional and Block Periodized Training Programs on Trained Athletes,Trained (min 3 years),14,24.2+/-3.1,M,LP/BP,https://www.dropbox.com/s/rj6yd7atkn52j8f/Screenshot%202017-06-19%2009.08.30.jpg?dl=0,15,65% (95% previous week),I don't think so,"Both forms of block; ""other"" is squat maximum isometric strength",other 1,135.4,125.6,47.7
30,No,Bartolomei,Block vs. Weekly Undulating Periodized Resistance Training Programs in Women,"Moderately Trained (min 2 years, and squatted at least once per week for the past year)",9,24.7+/-4.2,F,BP,"4 week block of 5x8-10 with 70-75%, deload week, 4 week block of 5x3-5 with 88-93%, deload week",10,0.93,"Yes, roughly","""Other"" is DL; WUP group lost slightly more fat as well, but I can't calculate BF% SDs for ESs",other 1,81.1,67,13.7
30,No,Bartolomei,Block vs. Weekly Undulating Periodized Resistance Training Programs in Women,"Moderately Trained (min 2 years, and squatted at least once per week for the past year)",8,23.3+/-2.2,F,WUP/BP/LP,Two identical 4-week blocks going from 5x10 with 70% to 5x3 at 93% with a deload between blocks and after second block,10,0.93,NA,"""CSA"" is Arm Muscle Area; I put thigh CSA down as fiber CSA",other 1,83.12,69.37,8.2
33,No,de Lima,Linear and Daily Undulating Resistance Training Periodizations Have Differential Beneficial Effects in Young Sedentary Women,Untrained,10,25.2+/-4.35,F,LP/BP,"3 blocks of 30RM W1, 25RM W2, 20RM W3, and 15RM W4",12,15RM,Yes,"""other"" is biceps curl",other 1,22.8,18.6,3.24
33,No,de Lima,Linear and Daily Undulating Resistance Training Periodizations Have Differential Beneficial Effects in Young Sedentary Women,Untrained,10,27.4+/-2.8,F,DUP/WUP,Alternating weeks of 30RM and 25RM with weeks of 20RM and 15RM,12,15RM,NA,NA,other 1,23,18.2,4.02
34,Yes,Apel,A comparison of Traditional and Weekly Undulating Periodized Strength Training Programs with Total Volume and Intensity Equated,Moderately trained (between 6-11 months of experience),14,23+/-2.8,M,LP/BP,First 3 weeks the same between programs; Two blocks of increasing intensity/decreasing volume past that,12,0.8,Yes,"""Other"" is DB shoulder press; Pull-down and Leg extension included as well",other 1,20.9,17,5.4
34,Yes,Apel,A comparison of Traditional and Weekly Undulating Periodized Strength Training Programs with Total Volume and Intensity Equated,Moderately trained (between 6-11 months of experience),14,22+/-1.9,M,WUP,2 blocks of heaviest-lightest-medium week for each block; intensities in a tight range (73-80%) for both groups,12,0.78,NA,Intensity ranges were too tight to really differentiate the programs (imo),other 1,19.8,16.5,5.2
42,No,Prestes,Understanding the Individual Responsiveness to resistance training periodization,Untrained Elderly Women,20,>60,F,LP/BP,"4 weeks 12-14RM, 4 weeks 10-12RM, 4 weeks 8-10RM, 4 weeks 6-8RM",16,6-8RM,Yes,"""Other"" was biceps curls",other 1,17.46,15.27,2.94
42,No,Prestes,Understanding the Individual Responsiveness to resistance training periodization,Untrained Elderly Women,19,>60,F,DUP,Cycling between those 4 RM ranges,16,6-8RM,NA,NA,other 1,18.05,17.11,2.37
45,No,Conlon,Periodization Strategies in Older Adults: Impact on Physical Function and Health,Untrained,NA,70.4+/-6.1,M/F,NP,3x10RM,31,10RM,Yes,DUP group the strongest to start with,other 1,40.5,32.4,14.9
45,No,Conlon,Periodization Strategies in Older Adults: Impact on Physical Function and Health,Untrained,NA,71.8+/-5.4,M/F,BP,"11 sessions of 3x15RM, 11 sessions of 3x10RM, 11 sessions of 3x5RM, then repeat",31,5RM,NA,NA,other 1,37.5,27.3,11
45,No,Conlon,Periodization Strategies in Older Adults: Impact on Physical Function and Health,Untrained,NA,71.2+/-4.2,M/F,DUP,"Cycling through 3x15RM, 3x10RM, and 3x5RM",31,5RM,NA,NA,other 1,44.5,35.8,14.6
48,No,Fink,"Impact of high versus low fixed loads and non-linear training loads on muscle hypertrophy, strength, and force development",Gymnasts,7,23.4+/-3,M,NP,0.8,8,0.8,Sets,"""Other"" is biceps MVC",other 1,77.8,61.5,6.5
48,No,Fink,"Impact of high versus low fixed loads and non-linear training loads on muscle hypertrophy, strength, and force development",Gymnasts,7,23.1+/-2.4,M,NP,0.3,8,0.3,NA,NA,other 1,71.5,68.4,23.5
48,No,Fink,"Impact of high versus low fixed loads and non-linear training loads on muscle hypertrophy, strength, and force development",Gymnasts,7,23+/-3.1,M,WUP?,Going between 80% and 30% every 2 weeks,8,0.3,NA,NA,other 1,75.3,67.4,15
50,No,Bartolomei,Comparison of Block versus Weekly Undulating Periodization Models on Endocrine and Strength Changes in Male Athletes,"Trained (wrestlers, rugby players, and throwers)",10,23.7+/-2.9,M,BP,"4 weeks of 65-75% focused on hypertrophy, 4 weeks of 85-95% focused on sterngth, and 4 weeks of 50-65% focused on power. Deload every 5th week",15,65 (95% 5 weeks out),I think,"""Other"" is squat isometric strength",other 1,146.9,141.7,32.1
50,No,Bartolomei,Comparison of Block versus Weekly Undulating Periodization Models on Endocrine and Strength Changes in Male Athletes,"Trained (wrestlers, rugby players, and throwers)",8,26+/-5.7,M,WUP/LP/BP,"W1 sets of 8-10 with 65-75%, W2 sets of 5-6 with 75-85%, week 3 sets of 3-4 with 85-95%, week 4 power training with 50-60%",15,60% (95% 2? Weeks out),NA,"FM also provided, but not SD for BF% so can't calculate ES",other 1,129.95,117.98,30.2
51,No,Harris,"Short-term Performance Effects of High Power, High Force, or Combined Weight-Training Methods",Trained (minimum 1.4x bodyweight squat),13,NA,M,NP,Sets of 5 at 80% (high force),9,80.0,No,"""Others"" are quarter squat and mid thigh pull, respectively",other 1,336,251,12
51,No,Harris,"Short-term Performance Effects of High Power, High Force, or Combined Weight-Training Methods",Trained (minimum 1.4x bodyweight squat),16,NA,M,NP,Sets of 5 at 30-45% (high power),9,45.0,no,NA,other 1,298,258,11
51,No,Harris,"Short-term Performance Effects of High Power, High Force, or Combined Weight-Training Methods",Trained (minimum 1.4x bodyweight squat),13,NA,M,DUP,Alternating between the high force and high power approaches,9,80.0,no,NA,other 1,329,239,14
13,No,DeBeliso,A comparison of periodised and fixed repetition training protocol on strength in older adults,Untrained older adults,13,71.2+/-5.4,M/F,NP,3x9RM,18,9RM,Yes,Relatively low adherence (72% for non-periodized and 81% for periodized),other 2,44,32,3
13,No,DeBeliso,A comparison of periodised and fixed repetition training protocol on strength in older adults,Untrained older adults,17,70.2+/-4.4,M/F,LP/BP,"2x15RM for 6 weeks, 3x9RM for 6 weeks, 4x6RM for 6 weeks",18,6RM,Yes (reps and sets; volume load likely similar),Average upper and lower body strength changes (lots of machine exercises),other 2,40,28,4
51,No,Harris,"Short-term Performance Effects of High Power, High Force, or Combined Weight-Training Methods",Trained (minimum 1.4x bodyweight squat),13,NA,M,NP,Sets of 5 at 80% (high force),9,80.0,No,"""Others"" are quarter squat and mid thigh pull, respectively",other 2,246,184,5
51,No,Harris,"Short-term Performance Effects of High Power, High Force, or Combined Weight-Training Methods",Trained (minimum 1.4x bodyweight squat),16,NA,M,NP,Sets of 5 at 30-45% (high power),9,45.0,no,NA,other 2,239,195,7
51,No,Harris,"Short-term Performance Effects of High Power, High Force, or Combined Weight-Training Methods",Trained (minimum 1.4x bodyweight squat),13,NA,M,DUP,Alternating between the high force and high power approaches,9,80.0,no,NA,other 2,263,188,6
